,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
182,117x117,13689,9009,2,2,77.0,77,92,(0.08762425663469309+0.035541604631901806j),0.09455800341902837,30.20609736442566,8666
183,117x117,13689,8307,2,2,71.0,71,89,(0.09442723908091742+0j),0.09442723908091742,24.468605518341064,7571
184,117x117,13689,7605,2,2,65.0,65,77,(0.11077659970994161+0j),0.11077659970994161,20.5392644405365,6885
185,117x117,13689,6903,2,2,59.0,59,75,(0.12713364434412824+0j),0.12713364434412824,19.308131217956543,7120
186,117x117,13689,6201,2,2,53.0,53,68,(0.13635404892236022+0j),0.13635404892236022,14.936412572860718,6133
187,117x117,13689,5499,2,2,47.0,47,61,(0.12514216388447982+0.039057165217343745j),0.13109547412670236,12.820486545562744,5854
188,117x117,13689,4797,2,2,41.0,41,55,(0.15068497685399956+0j),0.15068497685399956,9.355996131896973,4841
189,117x117,13689,4212,2,2,36.0,36,50,(0.16480948107703858+0j),0.16480948107703858,8.492185115814209,4907
190,118x118,13924,10502,2,2,89.0,89,103,(0.0812167956770916+0.014223440960297568j),0.08245286030699915,38.67512559890747,9289
191,118x118,13924,9794,2,2,83.0,83,95,(0.08659988671784025+0.02154870353611874j),0.08924061297206727,32.67510461807251,8605
192,118x118,13924,9086,2,2,77.0,77,91,(0.09229436035012267+0.009614834423025768j),0.09279382519015206,30.983356714248657,8843
193,118x118,13924,8378,2,2,71.0,71,84,(0.09044069270520902+0.03818170827710687j),0.09817006541688836,24.39215612411499,7450
194,118x118,13924,7670,2,2,65.0,65,79,(0.11822769485980894+0j),0.11822769485980894,21.12960290908813,7008
195,118x118,13924,7080,2,2,60.0,60,75,(0.10067730666258043+0.025667189079339212j),0.10389766442064909,17.092647075653076,6116
196,118x118,13924,6372,2,2,54.0,54,66,(0.12961519046729894+0j),0.12961519046729894,16.054126262664795,6180
197,118x118,13924,5664,2,2,48.0,48,62,(0.13755633015210833+0.02258558869125111j),0.1393981806963283,12.565588235855104,5259
198,118x118,13924,4956,2,2,42.0,42,55,(0.1460914084413079+0.015229243135948343j),0.1468830469007873,10.026082515716553,4951
199,118x118,13924,4248,2,2,36.0,36,52,(0.1787255804606224+0.017983601298794026j),0.17962806859358144,8.452030181884766,4849
200,119x119,14161,10710,2,2,90.0,90,102,(0.07704971957205067+0.021857780488097507j),0.08009008586583925,40.17228078842163,9677
201,119x119,14161,9996,2,2,84.0,84,98,(0.08139944918783086+0j),0.08139944918783086,36.22259306907654,9315
202,119x119,14161,9282,2,2,78.0,78,90,(0.10790685208342823+0j),0.10790685208342823,29.44063186645508,8274
203,119x119,14161,8568,2,2,72.0,72,84,(0.10229963445114154+0j),0.10229963445114154,22.76248908042908,6839
204,119x119,14161,7854,2,2,66.0,66,77,(0.1051679882266979+0.017385429007195773j),0.10659530425593387,22.982182502746586,7506
205,119x119,14161,7140,2,2,60.0,60,75,(0.12577982916216915+0j),0.12577982916216915,19.078497886657715,6817
206,119x119,14161,6426,2,2,54.0,54,71,(0.1112256021747306+0.01676756667485185j),0.112482380270543,16.307350635528564,6419
207,119x119,14161,5712,2,2,48.0,48,60,(0.154818074174409+0j),0.154818074174409,13.631676197052002,5940
208,119x119,14161,4998,2,2,42.0,42,57,(0.15850136310116558+0j),0.15850136310116558,11.622626781463625,5330
209,119x119,14161,4284,2,2,36.0,36,50,(0.16587048645075497+0.06153033116559078j),0.1769152337385262,8.076266050338745,4504
210,11x11,121,99,2,2,9.0,9,11,(0.1757809758449466+0j),0.1757809758449466,0.1629037857055664,3120
211,11x11,121,88,2,2,8.0,8,10,(0.25802644210481607+0j),0.25802644210481607,0.1916940212249755,4117
212,11x11,121,88,2,2,8.0,8,10,(0.24916116446573014+0j),0.24916116446573014,0.1417677402496338,3009
213,11x11,121,77,2,2,7.0,7,10,(0.17865556729917584+0.06571607345816154j),0.19035864581822606,0.1722702980041504,3918
214,11x11,121,77,2,2,7.0,7,9,(0.23593401727009156+0j),0.23593401727009156,0.101346731185913,2466
215,11x11,121,66,2,2,6.0,6,9,(0.30044259017305464+0.16386119231364657j),0.34222250121279857,0.072969913482666,1938
216,11x11,121,55,3,2,5.0,5,8,(0.30477132740249857+0.04716672460066807j),0.3083995167250368,0.0729715824127197,1980
217,11x11,121,55,3,2,5.0,5,9,(0.4609617692660283+0j),0.4609617692660283,0.0890326499938964,2459
218,11x11,121,44,3,2,4.0,4,5,(0.33547268650212925+0.03476855442613011j),0.3372695891506358,0.0607008934020996,1856
219,11x11,121,44,4,2,4.0,4,8,(0.36949779978311564+0j),0.36949779978311564,0.081024169921875,2378
220,120x120,14400,10800,2,2,90.0,90,102,(0.07315832428593276+0j),0.07315832428593276,33.99032711982727,8062
221,120x120,14400,10080,2,2,84.0,84,96,(0.08486628722968936+0j),0.08486628722968936,32.22764849662781,8216
222,120x120,14400,9360,2,2,78.0,78,93,(0.08548097161704755+0j),0.08548097161704755,30.594380378723145,8406
223,120x120,14400,8760,2,2,73.0,73,86,(0.10402612462497131+0j),0.10402612462497131,27.262105464935303,7617
224,120x120,14400,8040,2,2,67.0,67,83,(0.10765887332747359+0.010366240997901264j),0.10815679339998747,23.62820672988892,7422
225,120x120,14400,7320,2,2,61.0,61,75,(0.11540707798201955+0.020534749631461343j),0.1172197491499395,17.198041915893555,5970
